Flight ID,Flight Number,Airline,Plane,Origin City,Origin Airport,Origin Code,Origin Country,Destination City,Destination Airport,Destination Code,Destination Country,Departure Time,Arrival Time,Duration (Hours),Operating Days,Economy Fare (USD),Business Fare (USD),First Fare (USD),Route Type,Distance Category
26,FL26,SpiceJet,SG191,Delhi,Indira Gandhi International Airport,DEL,India,Bangalore,Kempegowda International Airport,BLR,India,06:05,08:55,2.83,Tuesday,6353.0,,,Domestic,Short-haul
27,FL27,AirAsia India,I5740,Delhi,Indira Gandhi International Airport,DEL,India,Bangalore,Kempegowda International Airport,BLR,India,08:10,10:40,2.50,Sunday,7026.0,,,Domestic,Short-haul
28,FL28,AirAsia India,I5740,Delhi,Indira Gandhi International Airport,DEL,India,Bangalore,Kempegowda International Airport,BLR,India,08:10,10:40,2.50,Saturday,7026.0,,,Domestic,Short-haul
29,FL29,AirAsia India,I5740,Delhi,Indira Gandhi International Airport,DEL,India,Bangalore,Kempegowda International Airport,BLR,India,08:10,10:40,2.50,Tuesday,7026.0,,,Domestic,Short-haul
30,FL30,AirAsia India,I51732,Delhi,Indira Gandhi International Airport,DEL,India,Bangalore,Kempegowda International Airport,BLR,India,21:40,00:30,2.83,Monday,7026.0,,,Domestic,Short-haul
31,FL31,AirAsia India,I51732,Delhi,Indira Gandhi International Airport,DEL,India,Bangalore,Kempegowda International Airport,BLR,India,21:40,00:30,2.83,Tuesday,7026.0,,,Domestic,Short-haul
32,FL32,AirAsia India,I5857,Delhi,Indira Gandhi International Airport,DEL,India,Bangalore,Kempegowda International Airport,BLR,India,18:45,21:40,2.92,Tuesday,7026.0,,,Domestic,Short-haul
33,FL33,Go First,G8119,Delhi,Indira Gandhi International Airport,DEL,India,Bangalore,Kempegowda International Airport,BLR,India,20:30,23:25,2.92,Monday,7105.0,,,Domestic,Short-haul
34,FL34,Go First,G8113,Delhi,Indira Gandhi International Airport,DEL,India,Bangalore,Kempegowda International Airport,BLR,India,05:50,08:35,2.75,Tuesday,7106.0,,,Domestic,Short-haul
35,FL35,Go First,G8113,Delhi,Indira Gandhi International Airport,DEL,India,Bangalore,Kempegowda International Airport,BLR,India,05:50,08:35,2.75,Sunday,7106.0,,,Domestic,Short-haul
36,FL36,Go First,G8113,Delhi,Indira Gandhi International Airport,DEL,India,Bangalore,Kempegowda International Airport,BLR,India,05:50,08:35,2.75,Monday,7106.0,,,Domestic,Short-haul
37,FL37,Go First,G8113,Delhi,Indira Gandhi International Airport,DEL,India,Bangalore,Kempegowda International Airport,BLR,India,05:50,08:35,2.75,Friday,7106.0,,,Domestic,Short-haul
38,FL38,Go First,G8119,Delhi,Indira Gandhi International Airport,DEL,India,Bangalore,Kempegowda International Airport,BLR,India,20:30,23:25,2.92,Tuesday,7106.0,,,Domestic,Short-haul
39,FL39,AirAsia India,I5740,Delhi,Indira Gandhi International Airport,DEL,India,Bangalore,Kempegowda International Airport,BLR,India,08:10,10:40,2.50,Friday,7202.0,,,Domestic,Short-haul
40,FL40,AirAsia India,I51732,Delhi,Indira Gandhi International Airport,DEL,India,Bangalore,Kempegowda International Airport,BLR,India,21:40,00:30,2.83,Friday,7203.0,,,Domestic,Short-haul
41,FL41,SpiceJet,SG537,Delhi,Indira Gandhi International Airport,DEL,India,Bangalore,Kempegowda International Airport,BLR,India,20:00,22:30,2.50,Tuesday,8380.0,,,Domestic,Short-haul
42,FL42,Go First,G8119,Delhi,Indira Gandhi International Airport,DEL,India,Bangalore,Kempegowda International Airport,BLR,India,20:30,23:25,2.92,Sunday,8483.0,,,Domestic,Short-haul
43,FL43,SpiceJet,SG191,Delhi,Indira Gandhi International Airport,DEL,India,Bangalore,Kempegowda International Airport,BLR,India,06:05,08:55,2.83,Friday,8484.0,,,Domestic,Short-haul
44,FL44,AirAsia India,I51529,Delhi,Indira Gandhi International Airport,DEL,India,Bangalore,Kempegowda International Airport,BLR,India,09:35,12:25,2.83,Saturday,8590.0,,,Domestic,Short-haul
45,FL45,AirAsia India,I51529,Delhi,Indira Gandhi International Airport,DEL,India,Bangalore,Kempegowda International Airport,BLR,India,09:35,12:25,2.83,Sunday,8590.0,,,Domestic,Short-haul
46,FL46,AirAsia India,I5857,Delhi,Indira Gandhi International Airport,DEL,India,Bangalore,Kempegowda International Airport,BLR,India,18:45,21:40,2.92,Sunday,8590.0,,,Domestic,Short-haul
47,FL47,AirAsia India,I5857,Delhi,Indira Gandhi International Airport,DEL,India,Bangalore,Kempegowda International Airport,BLR,India,18:45,21:40,2.92,Friday,8590.0,,,Domestic,Short-haul
48,FL48,AirAsia India,I5857,Delhi,Indira Gandhi International Airport,DEL,India,Bangalore,Kempegowda International Airport,BLR,India,18:45,21:40,2.92,Monday,8591.0,,,Domestic,Short-haul
49,FL49,Go First,G8119,Delhi,Indira Gandhi International Airport,DEL,India,Bangalore,Kempegowda International Airport,BLR,India,20:30,23:25,2.92,Saturday,11038.0,,,Domestic,Short-haul
50,FL50,Vistara,UK839,Delhi,Indira Gandhi International Airport,DEL,India,Chennai,Chennai International Airport,MAA,India,13:45,16:35,2.83,Tuesday,10462.0,11891.0,,Domestic,Short-haul
51,FL51,Vistara,UK835,Delhi,Indira Gandhi International Airport,DEL,India,Chennai,Chennai International Airport,MAA,India,19:55,22:45,2.83,Tuesday,10462.0,11891.0,,Domestic,Short-haul
52,FL52,SpiceJet,SG8207,Delhi,Indira Gandhi International Airport,DEL,India,Chennai,Chennai International Airport,MAA,India,08:45,11:25,2.67,Thursday,10644.0,,,Domestic,Short-haul
53,FL53,SpiceJet,SG8207,Delhi,Indira Gandhi International Airport,DEL,India,Chennai,Chennai International Airport,MAA,India,08:45,11:25,2.67,Friday,10644.0,,,Domestic,Short-haul
54,FL54,SpiceJet,SG8207,Delhi,Indira Gandhi International Airport,DEL,India,Chennai,Chennai International Airport,MAA,India,08:45,11:25,2.67,Saturday,10644.0,,,Domestic,Short-haul
55,FL55,SpiceJet,SG8207,Delhi,Indira Gandhi International Airport,DEL,India,Chennai,Chennai International Airport,MAA,India,08:45,11:25,2.67,Sunday,10644.0,,,Domestic,Short-haul
56,FL56,SpiceJet,SG8103,Delhi,Indira Gandhi International Airport,DEL,India,Chennai,Chennai International Airport,MAA,India,18:25,21:10,2.75,Friday,10644.0,,,Domestic,Short-haul
57,FL57,SpiceJet,SG8103,Delhi,Indira Gandhi International Airport,DEL,India,Chennai,Chennai International Airport,MAA,India,18:25,21:10,2.75,Saturday,10644.0,,,Domestic,Short-haul
58,FL58,SpiceJet,SG8103,Delhi,Indira Gandhi International Airport,DEL,India,Chennai,Chennai International Airport,MAA,India,18:25,21:10,2.75,Tuesday,10644.0,,,Domestic,Short-haul
59,FL59,Vistara,UK835,Delhi,Indira Gandhi International Airport,DEL,India,Chennai,Chennai International Airport,MAA,India,19:55,22:45,2.83,Wednesday,10644.0,11891.0,30449.0,Domestic,Short-haul
60,FL60,Vistara,UK839,Delhi,Indira Gandhi International Airport,DEL,India,Chennai,Chennai International Airport,MAA,India,13:45,16:35,2.83,Wednesday,10644.0,13090.0,,Domestic,Short-haul
61,FL61,Vistara,UK833,Delhi,Indira Gandhi International Airport,DEL,India,Chennai,Chennai International Airport,MAA,India,07:00,09:50,2.83,Sunday,10644.0,11891.0,,Domestic,Short-haul
62,FL62,Vistara,UK833,Delhi,Indira Gandhi International Airport,DEL,India,Chennai,Chennai International Airport,MAA,India,07:00,09:50,2.83,Saturday,10644.0,13090.0,30449.0,Domestic,Short-haul
63,FL63,Vistara,UK839,Delhi,Indira Gandhi International Airport,DEL,India,Chennai,Chennai International Airport,MAA,India,13:45,16:35,2.83,Friday,10644.0,16386.0,30609.0,Domestic,Short-haul
64,FL64,Vistara,UK839,Delhi,Indira Gandhi International Airport,DEL,India,Chennai,Chennai International Airport,MAA,India,13:45,16:35,2.83,Saturday,10644.0,11891.0,30449.0,Domestic,Short-haul
65,FL65,Air India,AI540,Delhi,Indira Gandhi International Airport,DEL,India,Chennai,Chennai International Airport,MAA,India,20:40,23:35,2.92,Wednesday,10646.0,,30622.0,Domestic,Short-haul
66,FL66,Air India,AI429,Delhi,Indira Gandhi International Airport,DEL,India,Chennai,Chennai International Airport,MAA,India,09:45,12:40,2.92,Monday,10646.0,,30622.0,Domestic,Short-haul
67,FL67,Air India,AI540,Delhi,Indira Gandhi International Airport,DEL,India,Chennai,Chennai International Airport,MAA,India,20:40,23:35,2.92,Sunday,10646.0,,,Domestic,Short-haul
68,FL68,Air India,AI540,Delhi,Indira Gandhi International Airport,DEL,India,Chennai,Chennai International Airport,MAA,India,20:40,23:35,2.92,Friday,10646.0,,,Domestic,Short-haul
69,FL69,Air India,AI540,Delhi,Indira Gandhi International Airport,DEL,India,Chennai,Chennai International Airport,MAA,India,20:40,23:35,2.92,Saturday,10646.0,,,Domestic,Short-haul
70,FL70,Air India,AI540,Delhi,Indira Gandhi International Airport,DEL,India,Chennai,Chennai International Airport,MAA,India,20:40,23:35,2.92,Monday,10646.0,,30622.0,Domestic,Short-haul
71,FL71,Air India,AI540,Delhi,Indira Gandhi International Airport,DEL,India,Chennai,Chennai International Airport,MAA,India,20:40,23:35,2.92,Tuesday,10646.0,,30622.0,Domestic,Short-haul
72,FL72,Air India,AI429,Delhi,Indira Gandhi International Airport,DEL,India,Chennai,Chennai International Airport,MAA,India,09:45,12:40,2.92,Thursday,10646.0,,,Domestic,Short-haul
73,FL73,Air India,AI429,Delhi,Indira Gandhi International Airport,DEL,India,Chennai,Chennai International Airport,MAA,India,09:45,12:40,2.92,Tuesday,10646.0,,,Domestic,Short-haul
74,FL74,Air India,AI429,Delhi,Indira Gandhi International Airport,DEL,India,Chennai,Chennai International Airport,MAA,India,09:45,12:40,2.92,Wednesday,10646.0,,,Domestic,Short-haul
75,FL75,Air India,AI833,Delhi,Indira Gandhi International Airport,DEL,India,Kochi,Cochin International Airport,COK,India,04:55,08:15,3.33,Monday,11740.0,,33138.0,Domestic,Medium-haul
76,FL76,Vistara,UK885,Delhi,Indira Gandhi International Airport,DEL,India,Kochi,Cochin International Airport,COK,India,15:55,19:10,3.25,Monday,11767.0,14288.0,33150.0,Domestic,Medium-haul
77,FL77,Vistara,UK883,Delhi,Indira Gandhi International Airport,DEL,India,Kochi,Cochin International Airport,COK,India,05:30,08:40,3.17,Saturday,11949.0,14288.0,37281.0,Domestic,Medium-haul
78,FL78,Vistara,UK883,Delhi,Indira Gandhi International Airport,DEL,India,Kochi,Cochin International Airport,COK,India,05:30,08:40,3.17,Sunday,11949.0,14288.0,49863.0,Domestic,Medium-haul
79,FL79,Vistara,UK883,Delhi,Indira Gandhi International Airport,DEL,India,Kochi,Cochin International Airport,COK,India,05:30,08:40,3.17,Thursday,11949.0,14288.0,49863.0,Domestic,Medium-haul
80,FL80,Vistara,UK883,Delhi,Indira Gandhi International Airport,DEL,India,Kochi,Cochin International Airport,COK,India,05:30,08:40,3.17,Tuesday,11949.0,16565.0,32966.0,Domestic,Medium-haul
81,FL81,Air India,AI833,Delhi,Indira Gandhi International Airport,DEL,India,Kochi,Cochin International Airport,COK,India,04:55,08:15,3.33,Wednesday,11951.0,,33138.0,Domestic,Medium-haul
82,FL82,Air India,AI833,Delhi,Indira Gandhi International Airport,DEL,India,Kochi,Cochin International Airport,COK,India,04:55,08:15,3.33,Sunday,11951.0,,33138.0,Domestic,Medium-haul
83,FL83,Air India,AI833,Delhi,Indira Gandhi International Airport,DEL,India,Kochi,Cochin International Airport,COK,India,04:55,08:15,3.33,Tuesday,11951.0,,33138.0,Domestic,Medium-haul
84,FL84,Air India,AI833,Delhi,Indira Gandhi International Airport,DEL,India,Kochi,Cochin International Airport,COK,India,04:55,08:15,3.33,Saturday,11951.0,,33138.0,Domestic,Medium-haul
85,FL85,Air India,AI833,Delhi,Indira Gandhi International Airport,DEL,India,Kochi,Cochin International Airport,COK,India,04:55,08:15,3.33,Friday,11951.0,,33138.0,Domestic,Medium-haul
86,FL86,Air India,AI833,Delhi,Indira Gandhi International Airport,DEL,India,Kochi,Cochin International Airport,COK,India,04:55,08:15,3.33,Thursday,11951.0,,33138.0,Domestic,Medium-haul
87,FL87,IndiGo,6E6034,Delhi,Indira Gandhi International Airport,DEL,India,Kochi,Cochin International Airport,COK,India,05:50,08:55,3.08,Saturday,12345.0,,,Domestic,Medium-haul
88,FL88,IndiGo,6E6034,Delhi,Indira Gandhi International Airport,DEL,India,Kochi,Cochin International Airport,COK,India,05:50,08:55,3.08,Wednesday,12345.0,,,Domestic,Medium-haul
89,FL89,IndiGo,6E6034,Delhi,Indira Gandhi International Airport,DEL,India,Kochi,Cochin International Airport,COK,India,05:50,08:55,3.08,Monday,12345.0,,,Domestic,Medium-haul
90,FL90,IndiGo,6E6034,Delhi,Indira Gandhi International Airport,DEL,India,Kochi,Cochin International Airport,COK,India,05:50,08:55,3.08,Tuesday,12345.0,,,Domestic,Medium-haul
91,FL91,IndiGo,6E6034,Delhi,Indira Gandhi International Airport,DEL,India,Kochi,Cochin International Airport,COK,India,05:50,08:55,3.08,Thursday,12345.0,,,Domestic,Medium-haul
92,FL92,IndiGo,6E6034,Delhi,Indira Gandhi International Airport,DEL,India,Kochi,Cochin International Airport,COK,India,05:50,08:55,3.08,Sunday,12345.0,,,Domestic,Medium-haul
93,FL93,IndiGo,6E6034,Delhi,Indira Gandhi International Airport,DEL,India,Kochi,Cochin International Airport,COK,India,05:50,08:55,3.08,Friday,12345.0,,,Domestic,Medium-haul
94,FL94,IndiGo,6E359,Delhi,Indira Gandhi International Airport,DEL,India,Kochi,Cochin International Airport,COK,India,17:55,21:05,3.17,Thursday,12345.0,,,Domestic,Medium-haul
95,FL95,IndiGo,6E359,Delhi,Indira Gandhi International Airport,DEL,India,Kochi,Cochin International Airport,COK,India,17:55,21:05,3.17,Monday,12345.0,,,Domestic,Medium-haul
96,FL96,IndiGo,6E359,Delhi,Indira Gandhi International Airport,DEL,India,Kochi,Cochin International Airport,COK,India,17:55,21:05,3.17,Tuesday,12345.0,,,Domestic,Medium-haul
97,FL97,AirAsia India,I5549,Delhi,Indira Gandhi International Airport,DEL,India,Kochi,Cochin International Airport,COK,India,14:55,18:10,3.25,Monday,12346.0,,,Domestic,Medium-haul
98,FL98,AirAsia India,I5549,Delhi,Indira Gandhi International Airport,DEL,India,Kochi,Cochin International Airport,COK,India,14:55,18:10,3.25,Thursday,12346.0,,,Domestic,Medium-haul
99,FL99,AirAsia India,I5549,Delhi,Indira Gandhi International Airport,DEL,India,Kochi,Cochin International Airport,COK,India,14:55,18:10,3.25,Tuesday,12346.0,,,Domestic,Medium-haul
100,FL100,SpiceJet,SG162,Delhi,Indira Gandhi International Airport,DEL,India,Hyderabad,Rajiv Gandhi International Airport,HYD,India,21:55,00:15,2.33,Sunday,6661.0,,,Domestic,Short-haul
101,FL101,SpiceJet,SG162,Delhi,Indira Gandhi International Airport,DEL,India,Hyderabad,Rajiv Gandhi International Airport,HYD,India,21:55,00:15,2.33,Saturday,6661.0,,,Domestic,Short-haul
102,FL102,Go First,G8423,Delhi,Indira Gandhi International Airport,DEL,India,Hyderabad,Rajiv Gandhi International Airport,HYD,India,05:45,07:45,2.00,Saturday,6979.0,,,Domestic,Short-haul
103,FL103,Go First,G8423,Delhi,Indira Gandhi International Airport,DEL,India,Hyderabad,Rajiv Gandhi International Airport,HYD,India,05:45,07:45,2.00,Sunday,6979.0,,,Domestic,Short-haul
104,FL104,Go First,G8422,Delhi,Indira Gandhi International Airport,DEL,India,Hyderabad,Rajiv Gandhi International Airport,HYD,India,18:55,21:05,2.17,Sunday,6979.0,,,Domestic,Short-haul
105,FL105,Go First,G8422,Delhi,Indira Gandhi International Airport,DEL,India,Hyderabad,Rajiv Gandhi International Airport,HYD,India,18:55,21:05,2.17,Saturday,7502.0,,,Domestic,Short-haul
106,FL106,Air India,AI560,Delhi,Indira Gandhi International Airport,DEL,India,Hyderabad,Rajiv Gandhi International Airport,HYD,India,07:10,09:25,2.25,Tuesday,9023.0,,,Domestic,Short-haul
107,FL107,Vistara,UK829,Delhi,Indira Gandhi International Airport,DEL,India,Hyderabad,Rajiv Gandhi International Airport,HYD,India,07:20,09:25,2.08,Thursday,9681.0,10933.0,,Domestic,Short-haul
108,FL108,Vistara,UK829,Delhi,Indira Gandhi International Airport,DEL,India,Hyderabad,Rajiv Gandhi International Airport,HYD,India,07:20,09:25,2.08,Sunday,9681.0,11959.0,26375.0,Domestic,Short-haul
109,FL109,Vistara,UK899,Delhi,Indira Gandhi International Airport,DEL,India,Hyderabad,Rajiv Gandhi International Airport,HYD,India,14:45,17:00,2.25,Wednesday,9681.0,10760.0,,Domestic,Short-haul
110,FL110,Vistara,UK871,Delhi,Indira Gandhi International Airport,DEL,India,Hyderabad,Rajiv Gandhi International Airport,HYD,India,20:35,22:55,2.33,Sunday,9681.0,10760.0,26375.0,Domestic,Short-haul
111,FL111,Air India,AI560,Delhi,Indira Gandhi International Airport,DEL,India,Hyderabad,Rajiv Gandhi International Airport,HYD,India,07:10,09:25,2.25,Saturday,9781.0,,,Domestic,Short-haul
112,FL112,Air India,AI560,Delhi,Indira Gandhi International Airport,DEL,India,Hyderabad,Rajiv Gandhi International Airport,HYD,India,07:10,09:25,2.25,Sunday,9781.0,,,Domestic,Short-haul
113,FL113,Vistara,UK829,Delhi,Indira Gandhi International Airport,DEL,India,Hyderabad,Rajiv Gandhi International Airport,HYD,India,07:20,09:25,2.08,Friday,9867.0,10933.0,26375.0,Domestic,Short-haul
114,FL114,Vistara,UK829,Delhi,Indira Gandhi International Airport,DEL,India,Hyderabad,Rajiv Gandhi International Airport,HYD,India,07:20,09:25,2.08,Wednesday,9867.0,10933.0,26250.0,Domestic,Short-haul
115,FL115,SpiceJet,SG162,Delhi,Indira Gandhi International Airport,DEL,India,Hyderabad,Rajiv Gandhi International Airport,HYD,India,21:55,00:15,2.33,Thursday,9867.0,,,Domestic,Short-haul
116,FL116,SpiceJet,SG162,Delhi,Indira Gandhi International Airport,DEL,India,Hyderabad,Rajiv Gandhi International Airport,HYD,India,21:55,00:15,2.33,Friday,9867.0,,,Domestic,Short-haul
117,FL117,SpiceJet,SG162,Delhi,Indira Gandhi International Airport,DEL,India,Hyderabad,Rajiv Gandhi International Airport,HYD,India,21:55,00:15,2.33,Tuesday,9867.0,,,Domestic,Short-haul
118,FL118,SpiceJet,SG162,Delhi,Indira Gandhi International Airport,DEL,India,Hyderabad,Rajiv Gandhi International Airport,HYD,India,21:55,00:15,2.33,Wednesday,9867.0,,,Domestic,Short-haul
119,FL119,Air India,AI542,Delhi,Indira Gandhi International Airport,DEL,India,Hyderabad,Rajiv Gandhi International Airport,HYD,India,09:45,11:50,2.08,Tuesday,9868.0,,,Domestic,Short-haul
120,FL120,Air India,AI542,Delhi,Indira Gandhi International Airport,DEL,India,Hyderabad,Rajiv Gandhi International Airport,HYD,India,09:45,11:50,2.08,Friday,9868.0,,,Domestic,Short-haul
121,FL121,Air India,AI839,Delhi,Indira Gandhi International Airport,DEL,India,Hyderabad,Rajiv Gandhi International Airport,HYD,India,21:30,23:45,2.25,Wednesday,9868.0,,26427.0,Domestic,Short-haul
122,FL122,Air India,AI560,Delhi,Indira Gandhi International Airport,DEL,India,Hyderabad,Rajiv Gandhi International Airport,HYD,India,07:10,09:25,2.25,Wednesday,9868.0,,26427.0,Domestic,Short-haul
123,FL123,Air India,AI560,Delhi,Indira Gandhi International Airport,DEL,India,Hyderabad,Rajiv Gandhi International Airport,HYD,India,07:10,09:25,2.25,Friday,9868.0,,26427.0,Domestic,Short-haul
124,FL124,Vistara,UK871,Delhi,Indira Gandhi International Airport,DEL,India,Hyderabad,Rajiv Gandhi International Airport,HYD,India,20:35,22:55,2.33,Wednesday,10046.0,10760.0,,Domestic,Short-haul
125,FL125,Vistara,UK895,Delhi,Indira Gandhi International Airport,DEL,India,Thiruvananthapuram,Trivandrum International Airport,TRV,India,08:10,11:25,3.25,Saturday,13546.0,15966.0,37281.0,Domestic,Medium-haul
126,FL126,Vistara,UK895,Delhi,Indira Gandhi International Airport,DEL,India,Thiruvananthapuram,Trivandrum International Airport,TRV,India,08:10,11:25,3.25,Wednesday,13546.0,16638.0,69590.0,Domestic,Medium-haul
127,FL127,Vistara,UK895,Delhi,Indira Gandhi International Airport,DEL,India,Thiruvananthapuram,Trivandrum International Airport,TRV,India,08:10,11:25,3.25,Sunday,13546.0,15966.0,37281.0,Domestic,Medium-haul
128,FL128,Vistara,UK895,Delhi,Indira Gandhi International Airport,DEL,India,Thiruvananthapuram,Trivandrum International Airport,TRV,India,08:10,11:25,3.25,Monday,13546.0,15966.0,54735.0,Domestic,Medium-haul
129,FL129,Vistara,UK895,Delhi,Indira Gandhi International Airport,DEL,India,Thiruvananthapuram,Trivandrum International Airport,TRV,India,08:10,11:25,3.25,Thursday,13546.0,15966.0,32966.0,Domestic,Medium-haul
130,FL130,Vistara,UK895,Delhi,Indira Gandhi International Airport,DEL,India,Thiruvananthapuram,Trivandrum International Airport,TRV,India,08:10,11:25,3.25,Friday,13728.0,15966.0,59049.0,Domestic,Medium-haul
131,FL131,Vistara,UK895,Delhi,Indira Gandhi International Airport,DEL,India,Thiruvananthapuram,Trivandrum International Airport,TRV,India,08:10,11:25,3.25,Tuesday,13728.0,15966.0,37281.0,Domestic,Medium-haul
132,FL132,Air India,AI801,Delhi,Indira Gandhi International Airport,DEL,India,Thiruvananthapuram,Trivandrum International Airport,TRV,India,15:00,18:15,3.25,Thursday,13731.0,,64344.0,Domestic,Medium-haul
133,FL133,Air India,AI801,Delhi,Indira Gandhi International Airport,DEL,India,Thiruvananthapuram,Trivandrum International Airport,TRV,India,15:00,18:15,3.25,Saturday,13731.0,,33738.0,Domestic,Medium-haul
134,FL134,Air India,AI801,Delhi,Indira Gandhi International Airport,DEL,India,Thiruvananthapuram,Trivandrum International Airport,TRV,India,15:00,18:15,3.25,Friday,13731.0,,47626.0,Domestic,Medium-haul
135,FL135,Air India,AI801,Delhi,Indira Gandhi International Airport,DEL,India,Thiruvananthapuram,Trivandrum International Airport,TRV,India,15:00,18:15,3.25,Wednesday,13731.0,,33138.0,Domestic,Medium-haul
